               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11702,            0.045967,            0.026419,                   0,                   0,                   0,                   0,             0.10913,            0.032503,            0.024855,              0.0011,              0.0011,              0.0901
                   1,             0.10752,            0.048712,            0.024445,           0.0024503,                 0.4,           0.0021504,          0.00081166,            0.092529,            0.032977,            0.021878,           0.0021861,           0.0021861,            0.079186
                   2,            0.095443,             0.04895,            0.020868,           0.0047697,               0.825,            0.045218,            0.011522,            0.078164,            0.031875,            0.016708,           0.0031535,           0.0031535,            0.068154
                   3,             0.08995,            0.050368,            0.017632,            0.019302,                 0.2,            0.028502,           0.0098329,            0.078422,            0.027277,            0.011001,           0.0040021,           0.0040021,            0.057002
                   4,             0.08928,            0.044065,            0.012964,             0.52083,                0.15,            0.037943,            0.012789,            0.093721,             0.01944,           0.0068318,           0.0047318,           0.0047318,            0.045732
                   5,            0.088155,            0.037617,             0.01202,             0.51429,                0.05,            0.019498,           0.0073289,             0.10333,            0.016622,           0.0060286,           0.0053428,           0.0053428,            0.034343
                   6,            0.095458,            0.034429,            0.010475,            0.030021,               0.325,             0.05072,            0.015048,            0.096668,            0.016585,           0.0064237,           0.0058349,           0.0058349,            0.022835
                   7,            0.094188,            0.034276,           0.0084649,             0.58384,                0.15,             0.13725,            0.046298,            0.098665,            0.014582,           0.0065037,           0.0062083,           0.0062083,            0.011208
                   8,            0.092468,             0.03165,           0.0099509,              0.7244,                0.35,              0.2515,            0.084664,            0.087845,            0.014631,           0.0068797,             0.00604,             0.00604,             0.00604
                   9,            0.088923,            0.031309,           0.0079311,             0.11828,                0.55,             0.34114,            0.053416,            0.086673,            0.015339,           0.0061136,             0.00604,             0.00604,             0.00604
                  10,            0.083873,             0.03897,           0.0072939,             0.11898,                0.75,             0.22287,            0.052778,            0.088318,            0.013612,           0.0046026,            0.005545,            0.005545,            0.005545
                  11,            0.086289,            0.028143,           0.0062392,             0.17825,             0.71653,             0.26934,            0.080523,            0.087264,            0.013441,            0.003687,             0.00505,             0.00505,             0.00505
                  12,            0.079667,            0.026531,           0.0067174,             0.22352,                   1,             0.39561,             0.14133,            0.076022,            0.012996,           0.0029861,            0.004555,            0.004555,            0.004555
                  13,            0.079665,            0.028828,              0.0047,             0.18197,                   1,             0.48735,             0.16891,            0.081085,            0.012794,           0.0027578,             0.00406,             0.00406,             0.00406
                  14,            0.075034,            0.029215,           0.0051789,             0.22359,             0.92494,             0.33161,             0.11367,            0.079393,            0.012404,           0.0022481,            0.003565,            0.003565,            0.003565
                  15,            0.073374,            0.027631,            0.003795,               0.341,                0.95,             0.70712,             0.20129,            0.065148,            0.012666,           0.0023294,             0.00307,             0.00307,             0.00307
                  16,            0.063281,            0.029596,           0.0035567,             0.31986,               0.675,             0.45122,             0.21013,            0.067406,            0.011953,           0.0021345,            0.002575,            0.002575,            0.002575
                  17,            0.063722,            0.031489,           0.0034601,             0.36924,                0.65,             0.52538,             0.22819,            0.056956,            0.012319,           0.0022823,             0.00208,             0.00208,             0.00208
                  18,            0.059533,            0.026178,           0.0029931,             0.66156,               0.925,             0.87911,             0.26891,            0.057797,            0.011642,           0.0021953,            0.001585,            0.001585,            0.001585
                  19,            0.054756,            0.025259,           0.0036338,             0.72054,                 0.9,             0.88146,             0.34582,            0.052129,            0.011614,            0.002204,             0.00109,             0.00109,             0.00109
